namaste_code,namaste_term,namaste_terms,icd_code,icd_description
EM-2.8.6,gandharvonmAdaH,"the disorder is characterized by mukhavādyaratiṁ [fond of instruments], nr̥tyaratiṁ [fond of dancing], gītaratiṁ [fond of singing], annaratiṁ [fond of various foods], pānaratiṁ [fond of drinking], snānaratiṁ [fond of bathing], mālyaratiṁ [fond of flowers], dhūparatiṁ [fond of holy fumes], gandharatiṁ [fond of perfumes], raktavastrapriya [person who likes red coloured clothes], balikarmapriya [person who like religious sacrificing procedure], hāsyakathāpriya [fond of comic stories], anuyōgapriya [spiritual], śubhagandhapriya [fond of holy fragrances], hr̥ṣṭātmā [happy soul], pulina upasēvanam [visiting river side], svācāraḥ [has good manners], parigīta priya [is over-fond of music], gandha priya [fond of fragrance], mālyaḥ priya [fond of flowers], nr̥tyan [dancing], prahasati [smiles], cāru śabdam [good beautiful words], alpaśabdam [less words], vanāntarōpasēvanam [visiting another forests/gardens] gandharvonmAdaH",8B00,Cerebral Infarction / Stroke
EM-2.8.7,yakShonmAdaH,"the disorder is characterized by asakr̥t svapna [continuous dreams], asakr̥t rōdana [continuous crying], asakr̥t hāsya [continuous laughing], nr̥tyaratiṁ [fond of dancing], gītaratiṁ [fond of singing], annaratiṁ [fond of various foods], pānaratiṁ [fond of drinking], snānaratiṁ [fond of bathing], mālyaratiṁ [fond of flowers], dhūparatiṁ [fond of holy fumes], gandharatiṁ [fond of perfumes], vādyaratiṁ [fond of musical instrument], pāṭharatiṁ [fond of reciting], kathāratiṁ [fond of stories or chatting], raktākṣa [reddish coloured eyes], viplutākṣa [confused dilated eyes], dvijāti parivādinaṁ [hates brahmaṇavaidya parivādinaṁ [hates vaidya], rahasyabhaṣiṇam [speaking secretly/revealing secrets], tāmrākṣaḥ [coppery redness of eyes], priyavastradhārī [person who wears his favourite garments], tanuvastradhārī [person who wears light (confortable) garments], raktavastradhārī [person who likes red coloured clothes], gambhīraḥ [serious in nature], drutagatiḥ [speedy/quick/swift gait], alpavāk [less talking], sahiṣṇuḥ [tolerant], tējasvī [looks majestic], kiṁ dadāmi kasmaiḥ vadati [keeps on enquiring what could he grant for whom] yakShonmAdaH",9A00,Conjunctivitis
EM-2.8.8,rAkShasonmAdaH,"the disorder is characterized by naṣṭanidrā [insomnia], annadvēṣi [person having aversion towards food], pānadvēṣi [person having aversion towards drinking anything], anāhārapyatibalinaṁ [strong enough even though stays without food], śastrābhilāṣiṇaṁ [willing to have weapon], śōṇitābhilāṣiṇaṁ [craving for blood], māṁsābhilāṣiṇaṁ [willing for meat], raktamālyābhilāṣiṇaṁ [fond of red garlands], saṁtarjakaṁ [blaming, scolding others], māṁsalipsuḥ [greedy for meat], asr̥glipsuḥ [greedy for blood], vividhasurāvikāra-lipsuḥ [greedy for various types of wines], nirlajjaḥ [excessively shameless], bhr̥śamatiniṣṭhuraḥ [very cruel], atiśūraḥ [very brave], krōdhāluḥ [short tempered], vipulabalaḥ [very strong], niśāvihārī [roams in the night], śaucadviḍ [aversion for cleanliness] rAkShasonmAdaH",1B10,Tuberculosis of Lung
EM-2.8.9,brahmarAkShasonmAdaH,"the disorder is characterized by prahāsa pradhāna [excessive laughter], nr̥tya pradhāna [perfoms excess dance], dēvadvēṣa [haterd and disobedience to the gods], vipradvēṣa [haterd and disobedience towards brāhmaṇa (noble man)], vaidhyadvēṣa [haterd and disobedience towards doctors], dēva avajñā [disobedience towards god], vipra avajñā [disobedience towards brāhmaṇa (noble man)], vaidhya avajñā [disobedience towards doctor], stuti udāharaṇaḥ [recitation of illustrations from hymns], vēda udāharaṇaḥ [recitation of illustrations from the vēda], mantra udāharaṇaḥ [recitation of illustrations from mantra (incantations)], śāstrōdāharaṇaḥ [recitation of illustrations from other scriptures], kāṣṭhādibhirātmapīḍanēna [person injures himself by stick , etc.] brahmarAkShasonmAdaH",5B80,Obesity
EM-2.8.10,piSAconmAdaH,"the disorder is characterized by asvasthacittaṁ [uneasiness in mind], sthānamalabhamānaṁ [complains of having no place to stay], nr̥tya [dancing], gīta [singing], hāsa [laughing], baddhapralāpa [incoherent speech], abaddhapralāpa [irrelevant talking], saṅkara adhirōhaṇaratiṁ [likes cilimbing over uneven places], kūṭa adhirōhaṇaratiṁ [likes entering in to caves], malinarathyādhirōhaṇaratiṁ [liking of riding on unclean vehicles], malina cēla adhirōhaṇaratiṁ [walking over dirty cloths], tr̥ṇa adhirōhaṇaratiṁ [climbing over heaps of grass], aśma adhirōhaṇaratiṁ [climbing over heaps of stones], kāṣṭhādhirōhaṇaratiṁ [climbing over heaps of wood], bhinna svara [hoarse voice], rukṣa svara [dry /rough voice], nagnaṁ [nude], vidhāvantaṁ [runs here and there], naikatra tiṣṭhantaṁ [does not stays on one place], duḥkhānyāvēdayantaṁ [always complains of his miseries before others], naṣṭasmr̥tiṁ [suffers from loss of memory], uddhastaḥ [raising up of hands], kr̥śa [emaciated/thin /malnourished], paruṣa [rough/dry], cirapralāpī [talking excess over a long period of time], bhr̥śaṁ durgandhō [very much bad odour], aśuci [unclean], atilōla [very greedy], bahvāśī [polyphagia], vijanavanāntarōpasēvī [living in another garden/forest which is devoid of people], vyācēṣṭan [behaving awkwardly], bhramati [roams around], rudana [crying] piSAconmAdaH",1D81,COVID-19
EM-2.8.11,BujaMgonmAdaH,"the disorder is characterized by prasarati sarpavat [creeps on the ground like a snake], sr̥kkaṇyau vilihati jihvayā [licks both lateral corners of mouth with his tongue], krōdhāluḥ [short tempered], guḍa īpsuḥ [long for jaggery], madhu īpsuḥ [willing for honey], dugdha īpsuḥ [willing for milk], pāyasēpsuḥ [likes rice puddings] BujaMgonmAdaH",1A00,Cholera
EM-2.8.12,kinnaronmAdaH,kinnaronmAdaH,1A00,Cholera
EM-2.8.13,pretonmAdaH,pretonmAdaH,1A00,Cholera
EM-2.8.14,adButonmAdaH,adButonmAdaH,1A00,Cholera
EM-2.8.15,jalAdhidevatonmAdaH,jalAdhidevatonmAdaH,1A00,Cholera
EM-2.8.16,kUShmANDonmAdaH,kUShmANDonmAdaH,1A00,Cholera
EM-2.8.17,kRutyonmAdaH,kRutyonmAdaH,1A00,Cholera
EM-2.8.18,vetAlonmAdaH,vetAlonmAdaH,1A00,Cholera
EM-2.8.19,guhyakonmAdaH,guhyakonmAdaH,1A00,Cholera
EM-2.8.20,BUtonmAdaH,"the disorder is characterized by amartya-vāk [speaking more effectively than human capacity], amartya-vikrama [having ability to perform tasks more than normal human capacity], amartya-vīrya [having vitality and ability more than a normal human being], amartya-cēṣṭa [performing acts beyond normal human capacity], amartya-jñāna [having extraordinary knowledge than normal human being], amartya-vijñāna [having extraordinary knowledge than normal human being], amartya-bala [having extra strength than normal human being], aniyata unmādakāla [invariable/unpredictable timing of insanity episode] BUtonmAdaH",1A00,Cholera
EM-2.8.21,AdhijonmAdaH,"the disorder is characterized by pāṇḍu [pallor/pale], dīna [timid or apathy], muhurmuhyan [fainting repeatedly], hāhēti paridēvatē [weeps making sounds such ha, ha], rōdityakasmāt [cries suddenly], mriyatē [dies], smayatē [laughing], guṇān bahu manyatē [overestimate], śōkakliṣṭamanā [with the mind suffering srom grief], dhyāyan [thinking], jāgaruka [alert], vicēṣṭatē [does unusual acts] AdhijonmAdaH",3A00,Iron Deficiency Anaemia
EM-2.8.22,hiMsArthakonmAdaH,"the disorder is characterized by agniṁ praviśati [patient enters into fire], apsu nimajjati [drowns in water], sthalācchvabhrē patati [falls in to pit], śastra abhirhantyātmānam [strikes himself with weapons, whips, sticks, brick bats, his own fist etc.], kaśābhiḥ hanti ātmānam [strikes himself with whips], kāṣṭha abhirhantyātmānam [strikes himself with sticks], lōṣṭa abhirhantyātmānam [strikes himself with brick bats], muṣṭi abhirhantyātmānam [strikes himself with his own fist], anya prāṇavadhārthamārbhatē [may adopt other means to kill himself] hiMsArthakonmAdaH",NF00,Burn Injury
EM-2.8.23,kAmajonmAdaH,"the disorder is characterized by alpavāk [less talking], smr̥ti bhrama [perverted memory] kAmajonmAdaH",1A00,Cholera
EM-2.9,asAdhya-unmAdaH,"the disorder is characterized by hastāvudyamya [patient having raised his hand in a fit of anger], rōṣasaṁrambhānniḥśaṅkamanyēṣvātmani vā nipātayēt [daringly thrashes others or him self], sāśrunētrō [tears in the eyes], mēḍhrapravr̥ttaraktaḥ [passed blood from the penis], kṣatajihvaḥ [if he has injuries in his tongue], prasrutanāsika [running nose], śchidyamānacarmā [a person who scratches/cuts his skin], āpratihanyamānavāṇiḥ [(a person with) uninterrupted speech], satataṁ vikūjan [constant mumbling], durvarṇa [discoloration of the body/abnormal colour], str̥ṣārtaḥ [excessively thirsty], pūtigandha [putrid smell of the body] asAdhya-unmAdaH",5B80,Obesity
SK31 (EM-3),apasmAraH,"It is characterised by transient loss of consciousness, paroxysmal convulsions, froth from the mouth, possible loss of memory of the episode. This may be explained by: (a) Mind is clouded by agitation or activity (rajas) and inertia (tamas) and the aggravated dosha occupy the channels of consciousness. apasmAraH",8A00,Epilepsy
EM-3.1,apasmAra-pUrvarUpam,apasmAra-pUrvarUpam,8A00,Epilepsy
EM-3.2,vAtaja-apasmAraH,vAtaja-apasmAraH,1A00,Cholera
EM-3.3,pittaja-apasmAraH,pittaja-apasmAraH,1A00,Cholera
EM-3.4,kaPaja-apasmAraH,kaPaja-apasmAraH,1A00,Cholera
EM-3.5,sAnnipAtaja-apasmAraH,sAnnipAtaja-apasmAraH,1A00,Cholera
EM-3.6,Agantuja-apasmAraH,Agantuja-apasmAraH,1A00,Cholera
EM-3.7,apasmAra-ariShTaH/apasmAra asAdhya lakShaN,apasmAra-ariShTaH/apasmAra asAdhya lakShaN,8A00,Epilepsy
EM-4 (SQ0Y),atattvABiniveSaH/mahAgadaH,atattvABiniveSaH/mahAgadaH,1A00,Cholera
SQ20 (EM-5),madAtyayaH/pAnAtyayaH,"It is characterised by confusion, tremors, headache, altered cognitive, intellectual functions, may be associated with fever. This may be explained by: (a) Vitiated pitta further accecting Vata. madAtyayaH/pAnAtyayaH",1E90,Rabies
EM-5.1,vAtajamadAtyayaH,"the disorder is characterized by hikkā [hiccup], śvāsaḥ [breathlessness/difficult breathing], śiraḥkampaḥ [involunraty rhythmic jerks to head], pārśvaśūlam [pain in sides of chest/flanks], prajāgaraḥ/ujāgaraḥ [keeping awake], bahupralāpaḥ [excessive and irrelevant talking], stambha [rigidity/stiffness], aṁgamarda [generalized bodyache], hr̥daya graha [stiffness in cardiac region], tōda [pricking pain], kampaḥ [tremors], mūrdha rujā [headache], bhramatya svapnē [dream of roaming around], utpatati svapnē [dreams of falling down], prēta saha bhāṣatē [dreams of talking with spirits] vAtajamadAtyayaH",FA01,Rheumatoid Arthritis
EM-5.2,pittajamadAtyayaH,"the disorder is characterized by tr̥ṣṇā/tr̥ḍ [thirst], dāhaḥ [burning sensation], jvaraḥ [fever], svēdaḥ [perspiration], mūrcchā [syncope/attacks of swooning], atisāra [diarrhoea], vibhramaḥ [dizziness/confusion], haritavarṇaḥ [greenish discolouration of the body], pralāpa [excess talking/irrelevant speech/incoherent speech], mukhaśōṣaṇa [dryness of mouth], vadana pītatā [yellowish face], lōcana pītatā [yellowish eyes], mōhaḥ [confusion/delirium], bhramaḥ [giddiness or dizziness], dēha harita [greenish tint over body], dēha hāridra [yellowish tint over body], rakta nētra [reddish eyes], rakta kapōla [redness over cheeks] pittajamadAtyayaH",5B80,Obesity
EM-5.3,kaPajamadAtyayaH,"the disorder is characterized by chardiḥ [vomiting], arōcakaḥ [tastelessness], hr̥llāsaḥ [nausea], tandrā [drowsiness/lassitude], staimitya [a sensation of being covered with wet clothes], gaurava [heaviness of the body], śītaparītasya [having feeling of cold], vamathu [vomiting], śīta [cold], kapha prasēka [mucoid discharge or salivation], nidrā [sleep], udarda [circular elevated patches on body/urticaria], aṁga gaurava [heaviness in body] kaPajamadAtyayaH",5B80,Obesity
EM-5.4,sannipAtajamadAtyayaH,the disorder is characterized by liṅgaḥ sarvātrāpi madātyaya/ sarvavikārasampata/ sarvaliṁgatvam [clinical features of all types] sannipAtajamadAtyayaH,1A00,Cholera
EM-5.5,dhvaMsaka-madAtyayaH,"the disorder is characterized by ślēṣmaprasēkaḥ/ ślēṣma niṣṭhivaḥ [mucus discharge through mouth], kaṇṭhaśōṣaḥ [dryness in the throat], āsyaśōṣaḥ [dryness in mouth], śabdāsahiṣṇutā/ śabdāsahatva [intolerance to noise], tandrātiyōga/tandrā [excessive drowsiness], nidrātiyōga/ ati nidrā [excessive sleep] dhvaMsaka-madAtyayaH",6A01,Generalised Anxiety Disorder
EM-5.6,vikShaya-madAtyayaH/vikShepaka-madAtyayaH,"the disorder is characterized by hr̥t-rōgaḥ/ hr̥t rōdhaḥ [cardiac disorders], kaṇṭharōgaḥ/ kaṇṭharōdhaḥ [throat disorders], sammōha [unconsciousness/confusion], chardiḥ/ vamiḥ [vomiting], aṅgarujā/ aṁga ati ruk [pain in the body], jvaraḥ [fever], tr̥ṣṇā [thirst], kāsaḥ [cough], śiraḥśūla/ śirō ati ruk [headache] vikShaya-madAtyayaH/vikShepaka-madAtyayaH",CA40,Influenza
EM-5.7,paramadaH,"the disorder is characterized by ūṣmāṇa [warmthness], ślēṣmādhikatva/ ślēṣmōcchryō [aggravation of kapha], aṅgagurutā [heaviness of body], virasānanatvaṁ/ virasāsyatā [absense of any taste in the mouth], viṭ-saktiḥ/ malasaṁga [retension of faeces], mūtrasaktiḥ/ mūtrasaṁga [obstruction/retention in passage of urine], tandrā [drowsiness/lassitude], aruci/ arōcaka [tastelessness], tr̥ṣṇā [thirst], śiraḥ rujā [headache], sandhiḥ bhēdaḥ [pain in joints] paramadaH",MG40,Oedema / Swelling
EM-5.8,pAnAjIrNam,"the disorder is characterized by ādhmāna [abdominal distension], amlōdgāra [sour belching/eructation], vidāhaḥ [internal burning sensation] pAnAjIrNam",DD70,Gastroesophageal Reflux Disease
EM-5.9,pAnaviBramaH,"the disorder is characterized by hr̥datōdaḥ [pricking pain in the cardiac region], surā dvēṣaḥ [disliking towards alcohol], annavikr̥tēṣu dvēṣaḥ [disliking towards food preparations], gātratōdaḥ [pricking pain all over body], kaphasaṁsravaḥ/ kapha sravaṇa [secretion of mucus], kaṇṭhadhūmaḥ [a feeling as if the throat is full of smoke], mūrcchā [syncope/attacks of swooning], vamiḥ/vamathu [vomiting], jvaraḥ [fever], śirōrujanam/ mūrdha rujā [headache], pradāhaḥ/vidāha [burning sensation] pAnaviBramaH",CA40,Influenza
EM-5.10,asAdhya-madAtyayaH (pAnahataH ),"the disorder is characterized by hīnōttarauṣṭha [drooped upper lip], atiśītam [coldness from outside cold], mandadāham [burning sensation within], āsya taila prabhā [who has an oily radiance on his face], asita jihvā [blackish tongue], asita danta [blackish teeth], asita auṣṭha [blackish lips], nīla jihvā [tongue with bluish tint], nīla danta [teeth with bluish tint], nīla auṣṭha [lips with bluish tint], rudhira prabha nayana [eyes become red in colour like blood], pīta nayana [yellowish eyes] asAdhya-madAtyayaH (pAnahataH )",8A03,Trigeminal Neuralgia
EM-5.11,madAtyaya-upadravaH,"the disorder is characterized by hikkā [hiccup], jvaraḥ [fever], vamathu [vomiting], vēpathuḥ [shivering/tremors], pārśva śūla [pain in sides of chest/flanks], kāsaḥ [cough], bhramaḥ [giddiness or dizziness] madAtyaya-upadravaH",BA00,Hypertensive Heart Disease
EM-5.12,madAtyaya-ariShTaH,"the disorder is characterized by atiśītārtaṁ [suffering with sever coldness], kṣīṇaṁ [debilitated], tailaprabhānanam [who has an oily radiance on his face] madAtyaya-ariShTaH",EA90,Acne
EM-6.1,vAtajamadaH,vAtajamadaH,1A00,Cholera
EM-6.2,pittajamadaH,pittajamadaH,1A00,Cholera
EM-6.3,kaPajamadaH,kaPajamadaH,1A00,Cholera
EM-6.4,sAnnipAtajamadaH,sAnnipAtajamadaH,1A00,Cholera
EM-6.5,raktajamadaH,raktajamadaH,1A00,Cholera
EM-6.6,madyajamadaH,madyajamadaH,1A00,Cholera
EM-6.6.1,prathama-madyajamadaH,prathama-madyajamadaH,1A00,Cholera
EM-6.6.2,dvitIya-madyajamadaH,dvitIya-madyajamadaH,1A00,Cholera
EM-6.6.3,tRutIya-madAvasthA,tRutIya-madAvasthA,1A00,Cholera
EM-6.6.4,caturtha-madyajamadaH,caturtha-madyajamadaH,1A00,Cholera
EM-6.7,viShajamadaH,viShajamadaH,1A00,Cholera
SP98 (EM-7),mUrcCA,"It is characterised by temporary loss of consiousness, pale face, cold extremities, nausea. This may be explained by: (a) Vitiation of pittadosha involving rajas and tamas. mUrcCA",8B10,Transient Ischaemic Attack
EM-7.1,mUrcCA-pUrvarUpam,mUrcCA-pUrvarUpam,1A00,Cholera
EM-7.2 (SP98),vAtajamUrcCA,vAtajamUrcCA,1A00,Cholera
EM-7.3 (SP98),pittajamUrcCA,pittajamUrcCA,1A00,Cholera
EM-7.4 (SP98),kaPajamUrcCA,kaPajamUrcCA,1A00,Cholera
EM-7.5 (SP98),sAnnipAtajamUrcCA,sAnnipAtajamUrcCA,1A00,Cholera
EM-7.6 (SP98),raktajamUrcCA,raktajamUrcCA,1A00,Cholera
EM-7.7 (SP98),madyajamUrcCA,madyajamUrcCA,1A00,Cholera
EM-7.8 (SP98),viShajamUrcCA,viShajamUrcCA,1A00,Cholera
EM-7.9 (SP98),glAnijamUrcCA,glAnijamUrcCA,1A00,Cholera
EM-7.10,asAdhya-mUrcCA,asAdhya-mUrcCA,1A00,Cholera
EM-8,BUta-grahaH,BUta-grahaH,1A00,Cholera
EM-8.1,aukIrNaBUta-grahaH,aukIrNaBUta-grahaH,1A00,Cholera
EM-8.2,balikAma-grahaH,balikAma-grahaH,1A00,Cholera
EM-8.3,Buja~gga-grahaH,Buja~gga-grahaH,1A00,Cholera
EM-8.4,brahmarAkShasa-grahaH,brahmarAkShasa-grahaH,1A00,Cholera
EM-8.5,daitya-grahaH,daitya-grahaH,1A00,Cholera
EM-8.6,deva-grahaH,deva-grahaH,1A00,Cholera
EM-8.7,gaNamAtRu-grahaH,gaNamAtRu-grahaH,1A00,Cholera
EM-8.8,gandharva-grahaH,gandharva-grahaH,1A00,Cholera
EM-8.9,hiMsAtmaka-grahaH,hiMsAtmaka-grahaH,1A00,Cholera
EM-8.10,niShAda-grahaH,niShAda-grahaH,1A00,Cholera
EM-8.11,ratikAma-grahaH,ratikAma-grahaH,1A00,Cholera
EM-8.12,uraga-grahaH,uraga-grahaH,1A00,Cholera
EM-8.13,vetAla-grahaH,vetAla-grahaH,1A00,Cholera
EM-8.14,yakSha-grahaH,yakSha-grahaH,1A00,Cholera
EM-8.15,piSAcagrahaH,piSAcagrahaH,1A00,Cholera
EM-8.16,asAdhyagraha,asAdhyagraha,1A00,Cholera
SQ10 (EM-9),mana-santApaH,"It is characterised by mild fever, confusion, restlessness, anxiety, mind and body fatigue. This may be explained by: (a) Agitated rajoguna, tamoguna leading to. mana-santApaH",5B80,Obesity
EM-10,saMnyAsaH,"the disorder is characterized by kāṣṭhībhūtō mr̥tōpamaḥ [like a log of wood as if dead], prāṇairvimucyatē śīghram muktvā sadyaḥphalāḥ kriyāḥ [patient looses his life if not treated early /or as soon as emergency treatment support is withdrawn] saMnyAsaH",8A03,Trigeminal Neuralgia
SK10 (EM-11),BramaH,"it is characterised by experience of darkness and vertigo and dizzines on standing. May be associated with difficulty in intake of food, hypersalivation, cough and dyspnoea. This may be explained by: (a) aggravation of pittadosha, vatadosha or decrease of kapha affecting the ear faculty. BramaH",AB00,Otitis Media
SK00 (F),SirorogaH/SiraHSUla/SirastApa/SiroBitApa,It is characterised by headache that may be associated with occipital pain. This may be explained by: (a) aggravation of any of the three dosha individually or together affecting the head; SirorogaH/SiraHSUla/SirastApa/SiroBitApa,MG32,Headache Disorder
F-1,vAtaja-SirorogaH,vAtaja-SirorogaH,1A00,Cholera
F-2,pittaja-SirorogaH/pittaja SiroBitApa,pittaja-SirorogaH/pittaja SiroBitApa,1A00,Cholera
F-3,kaPaja-SirorogaH/kaPaja SiroBitApa,kaPaja-SirorogaH/kaPaja SiroBitApa,1A00,Cholera
F-4,sAnnipAtaja-SirorogaH,sAnnipAtaja-SirorogaH,1A00,Cholera
F-5,raktaja-SirorogaH,raktaja-SirorogaH,1A00,Cholera
F-6 (SK00),kRumija-SirorogaH,kRumija-SirorogaH,1A00,Cholera
F-7 (SK00),anantavAtaH,anantavAtaH,1A00,Cholera
SK01 (F-8),ardhAvaBedakaH,"It is characterised by episodic, severe headache involving one half of the head.May be associated with nausea and vomiting. This may be explained by: (a) aggravated vatadosha, pittadosha causing pain in one part of the head. ardhAvaBedakaH",8A20,Migraine
F-9 (SK00),sUryAvartaH,sUryAvartaH,1A00,Cholera
F-10 (SK00),Sa~gkhakaH,Sa~gkhakaH,1A00,Cholera
F-11 (SK52),SiraHkampaH,SiraHkampaH,1A00,Cholera
F-12 (SK00),kShayajaSirorogaH,kShayajaSirorogaH,1A00,Cholera
SK50 (FA),kapAla-rogaH,"It is characterised by headache, heaviness around eyes, hairloss, bleeding per nasal cavity, dryness of throat, ear. This may be explained by: (a) vitiated doshas localising the scalp kapAla-rogaH",AB00,Otitis Media
FA-1,upaSIrShakaH,upaSIrShakaH,1A00,Cholera
SN73 (FA-2),akAlapalitaH/palitaH,"It is characterised by untimely greying of the hair. This may be explained by: (a) Increased pitta, vata cause premature greying of the hair. akAlapalitaH/palitaH",ED00,Alopecia
FA-2.1,vAtika-palitaH,vAtika-palitaH,1A00,Cholera
FA-2.3,pittajapalitaH,pittajapalitaH,1A00,Cholera
FA-2.5,kaPajapalitaH,kaPajapalitaH,1A00,Cholera
FA-2.7,sAnnipAtajapalitaH,sAnnipAtajapalitaH,1A00,Cholera
FA-2.9,Sirorogottha-palitaH,Sirorogottha-palitaH,1A00,Cholera
SN71 (FA-3),khAlityam/khalati,It is characterised by falling of scalp hair. This may be explained by: (a) Aggravated vata and pitta affecting the hair roots followed by closure of hair root. khAlityam/khalati,ED00,Alopecia
FA-3.1,vAtaja-khAlityam/vAtajakhalati,the disorder is characterized by agnidagdhābhā [resembles as though burnt by fire] vAtaja-khAlityam/vAtajakhalati,NF00,Burn Injury
FA-3.2,pittaja khalityam,"the disorder is characterized by svinna/svēda [unctuousness], sirāvr̥ta [manifestation of veins on skin] pittaja khalityam",BD10,Varicose Veins
FA-3.3,kaPaja khalityam/kaPaja khalati,"the disorder is characterized by ghana [thick], tvagvarṇā [same colour as of the skin] kaPaja khalityam/kaPaja khalati",EA80,Vitiligo
FA-3.4,sAnnipAtaja-khalityam/asAdhya-khalityam,"the disorder is characterized by nakhaprabhā [resembles nail], agninēva dagdhaḥ [burnt by fire], nirlōma [hairless], dāhaḥ [burning sensation] sAnnipAtaja-khalityam/asAdhya-khalityam",8E00,Peripheral Neuropathy
SN91 (FA-4),dAruNakaH,"It is characterised by dryness of the scalp, appearance of husk like flakes on the scalp, itching, ulceration. This may be explained by: (a) Increased dryness due to vata and kapha affecting the scalp. dAruNakaH",ED00,Alopecia
FA-5,arUMShikA (kapAla),arUMShikA (kapAla),1A00,Cholera
FA-6 (SK50),kapAlarbudaH,kapAlarbudaH,1A00,Cholera
FA-7 (SP9Y),kapAlavidradhiH,kapAlavidradhiH,1A00,Cholera
G,mukharogaH,mukharogaH,1A00,Cholera
GA,oShTharogaH,oShTharogaH,1A00,Cholera
SM1M (GA-1),vAtaja-oShThaprakopaH,It is characterised by chapped dry lips. This may be explained by: (a) Vitiation of vatadosha affecting the lips. vAtaja-oShThaprakopaH,EA00,Dermatitis / Eczema
SM1K  (GA-2),pittaja-oShThaprakopaH,"It is characterised by desquamation of lips and may be associated with bleeding, blistering. This may be explained by: (a) Vitiation of vata, pitta affecting lips. pittaja-oShThaprakopaH",JA00,Complications of Pregnancy
SM1L (GA-3),kaPaja-oShThaprakopaH,"It is characterised by swollen itcy lips. This may be explained by: (a) Vitiation of kapha, vata affecting lips. kaPaja-oShThaprakopaH",4A40,Autoimmune Disease
GA-4,sAnnipAtaja-oShThaprakopaH,sAnnipAtaja-oShThaprakopaH,1A00,Cholera
GA-5,raktaja-oShThaprakopaH,raktaja-oShThaprakopaH,1A00,Cholera
GA-6,mAMsaja-oShThaprakopaH,mAMsaja-oShThaprakopaH,1A00,Cholera
GA-7,medoja-oShThaprakopaH,medoja-oShThaprakopaH,1A00,Cholera
GA-8 (SM1K),aBighAtaja-oShThaprakopaH/kShataja-oShThaprakopaH,aBighAtaja-oShThaprakopaH/kShataja-oShThaprakopaH,1A00,Cholera
GA-9,khaNDauShThaH,khaNDauShThaH,1A00,Cholera
GA-10 (SM1Y),jalArbudaH,jalArbudaH,1A00,Cholera
GB,dantamUlagatarogaH,dantamUlagatarogaH,1A00,Cholera
GB-2 (SM1Y),dantapuppuTaH,dantapuppuTaH,1A00,Cholera
SM13 (GB-3),dantaveShTakaH,"It is characterised by foul smelling breath, loose teeth with pain, swollen gums, bleeding, discharge of pus. This may be explained by: (a) Vitiated blood affecting the roots of teeth. dantaveShTakaH",8A03,Trigeminal Neuralgia
GB-5 (SM11),mahASauShiraH,mahASauShiraH,1A00,Cholera
SM1B (GB-6),paridaraH,"It is characterised by bleeding from gums, may be associated with ulcers. This may be explained by: (a) Vitiation of pitta, kapha and blood affecting the gums. paridaraH",5B20,Vitamin Deficiency
SM14 (GB-7),upakuSaH,"It is characterised by swelling, pain in the gums. This may be explained by: (a) Vitiated blood affecting the roots of teeth. upakuSaH",5B20,Vitamin Deficiency
GB-8,dantavaidarBaH/dantavidarBa,dantavaidarBaH/dantavidarBa,1A00,Cholera
GB-9 (SM1Y),vardhanaH/adhidantaH,vardhanaH/adhidantaH,1A00,Cholera
GB-10 (SM1Y),adhimAMsaH,adhimAMsaH,1A00,Cholera
GB-12.1,vAtajadantanADI,vAtajadantanADI,1A00,Cholera
GB-12.2,pittajadantanADI,pittajadantanADI,1A00,Cholera
GB-12.3,kaPajadantanADI,kaPajadantanADI,1A00,Cholera
GB-12.4,sAnnipAtika-dantanADI,sAnnipAtika-dantanADI,1A00,Cholera
GB-12.5,Salyanimittaja-dantanADI,Salyanimittaja-dantanADI,1A00,Cholera
GC,dantagatarogaH,dantagatarogaH,1A00,Cholera
SM1A (GC-1),dAlanaH/karAlaH,"It is characterised by severe dental pain and may be associated with injury, infection. This may be explained by: (a) Severe vitiation of vatadosha, pittadosha affecting the teeth and gums. dAlanaH/karAlaH",8A03,Trigeminal Neuralgia
SM1E (GC-2),kRumidantakaH,"It is characterised by decaying of tooth, tooth ache, breaking of teeth. This may be explained by: (a) Vitiated vata along with blood affecting the tooth. kRumidantakaH",1E30,Dengue Fever
SM1J (GC-3),dantaharShaH,"It is characterised by increased sensitivity of teeth, loss of upper most covering. This may be explained by: (a) Vitiated vatadosha afecting the teeth. dantaharShaH",8A03,Trigeminal Neuralgia
GC-4,Ba~jjanakaH/dantaBedaH,Ba~jjanakaH/dantaBedaH,1A00,Cholera
SM1F (GC-5),dantaSarkarA,"It is characterised by yellow crust at the root of the teeth, the crust is sometimes too hard to detach from the teeth. This may be explained by: (a) It is caused due to vitiated dosha accumulating over the teeth dantaSarkarA",8A03,Trigeminal Neuralgia
SM1G (GC-7),SyAvadantakaH,It is characterised by discolouration of teeth. This may be explained by: (a) Vitiated blood and pitta affecting the teeth. SyAvadantakaH,8A03,Trigeminal Neuralgia
GC-8,hanumokShaH,hanumokShaH,1A00,Cholera
SM1H (GC-9),dantacAlaH,It is characterised by loosening of teeth. This may be explained by: (a) Vitiated vata affecting the tooth. dantacAlaH,8A03,Trigeminal Neuralgia
SM11 (GC-10),dantavidradhiH,"It is characterised by painful suppurative swelling around teeth. This may be explained by: (a) Aggravation of pitta affecting skin, fat, muscle tissue around the tooth resulting in swelling and suppuration. dantavidradhiH",DA70,Haemorrhoids
